text,intent,entities
pia estoy de acuerdo,afirmativo,[]
si pia,afirmativo,[]
cierto,afirmativo,[]
eso eso es correcto,afirmativo,[]
esta bien,afirmativo,[]
tienes razon,afirmativo,[]
si,afirmativo,[]
pia cierto,afirmativo,[]
estoy de acuerdo,afirmativo,[]
correcto,afirmativo,[]
yes,afirmativo,[]
pia sii,afirmativo,[]
afirmativo,afirmativo,[]
pia si,afirmativo,[]
estoy de acuerdo pia,afirmativo,[]
esta bien pia,afirmativo,[]
pia asi es,afirmativo,[]
tienes razon pia,afirmativo,[]
yes,afirmativo,[]
es verdad,afirmativo,[]
bien pia,afirmativo,[]
cierto pia,afirmativo,[]
bien,afirmativo,[]
correcto,afirmativo,[]
yes,afirmativo,[]
estoy de acuerdo,afirmativo,[]
eso eso es correcto pia,afirmativo,[]
pia yes,afirmativo,[]
correcto pia,afirmativo,[]
pia yes,afirmativo,[]
yes pia,afirmativo,[]
me parece bien pia,afirmativo,[]
pia correcto,afirmativo,[]
pia bien,afirmativo,[]
tienes razon,afirmativo,[]
es verdad,afirmativo,[]
pia me parece bien,afirmativo,[]
sii pia,afirmativo,[]
me parece bien,afirmativo,[]
eso eso es correcto,afirmativo,[]
yes pia,afirmativo,[]
yes,afirmativo,[]
bien,afirmativo,[]
asi es,afirmativo,[]
pia tienes razon,afirmativo,[]
pia eso eso es correcto,afirmativo,[]
asi es,afirmativo,[]
sii,afirmativo,[]
si,afirmativo,[]
pia esta bien,afirmativo,[]
asi es pia,afirmativo,[]
afirmativo pia,afirmativo,[]
afirmativo,afirmativo,[]
pia es verdad,afirmativo,[]
sii,afirmativo,[]
pia afirmativo,afirmativo,[]
esta bien,afirmativo,[]
me parece bien,afirmativo,[]
es verdad pia,afirmativo,[]
cierto,afirmativo,[]
pia estoy de acuerdo,afirmativo,[]
si pia,afirmativo,[]
cierto,afirmativo,[]
eso eso es correcto,afirmativo,[]
esta bien,afirmativo,[]
tienes razon,afirmativo,[]
si,afirmativo,[]
pia cierto,afirmativo,[]
estoy de acuerdo,afirmativo,[]
correcto,afirmativo,[]
yes,afirmativo,[]
pia sii,afirmativo,[]
afirmativo,afirmativo,[]
pia si,afirmativo,[]
estoy de acuerdo pia,afirmativo,[]
esta bien pia,afirmativo,[]
pia asi es,afirmativo,[]
tienes razon pia,afirmativo,[]
yes,afirmativo,[]
es verdad,afirmativo,[]
bien pia,afirmativo,[]
cierto pia,afirmativo,[]
bien,afirmativo,[]
correcto,afirmativo,[]
yes,afirmativo,[]
estoy de acuerdo,afirmativo,[]
eso eso es correcto pia,afirmativo,[]
pia yes,afirmativo,[]
correcto pia,afirmativo,[]
pia yes,afirmativo,[]
yes pia,afirmativo,[]
me parece bien pia,afirmativo,[]
pia correcto,afirmativo,[]
pia bien,afirmativo,[]
tienes razon,afirmativo,[]
es verdad,afirmativo,[]
pia me parece bien,afirmativo,[]
sii pia,afirmativo,[]
me parece bien,afirmativo,[]
eso eso es correcto,afirmativo,[]
yes pia,afirmativo,[]
yes,afirmativo,[]
bien,afirmativo,[]
asi es,afirmativo,[]
pia tienes razon,afirmativo,[]
pia eso eso es correcto,afirmativo,[]
asi es,afirmativo,[]
sii,afirmativo,[]
si,afirmativo,[]
pia esta bien,afirmativo,[]
asi es pia,afirmativo,[]
afirmativo pia,afirmativo,[]
afirmativo,afirmativo,[]
pia es verdad,afirmativo,[]
sii,afirmativo,[]
pia afirmativo,afirmativo,[]
esta bien,afirmativo,[]
me parece bien,afirmativo,[]
es verdad pia,afirmativo,[]
cierto,afirmativo,[]
pia estoy de acuerdo,afirmativo,[]
si pia,afirmativo,[]
cierto,afirmativo,[]
eso eso es correcto,afirmativo,[]
esta bien,afirmativo,[]
tienes razon,afirmativo,[]
si,afirmativo,[]
pia cierto,afirmativo,[]
estoy de acuerdo,afirmativo,[]
correcto,afirmativo,[]
yes,afirmativo,[]
pia sii,afirmativo,[]
afirmativo,afirmativo,[]
pia si,afirmativo,[]
estoy de acuerdo pia,afirmativo,[]
esta bien pia,afirmativo,[]
pia asi es,afirmativo,[]
tienes razon pia,afirmativo,[]
yes,afirmativo,[]
es verdad,afirmativo,[]
bien pia,afirmativo,[]
cierto pia,afirmativo,[]
bien,afirmativo,[]
correcto,afirmativo,[]
yes,afirmativo,[]
estoy de acuerdo,afirmativo,[]
eso eso es correcto pia,afirmativo,[]
pia yes,afirmativo,[]
correcto pia,afirmativo,[]
pia yes,afirmativo,[]
yes pia,afirmativo,[]
me parece bien pia,afirmativo,[]
pia correcto,afirmativo,[]
pia bien,afirmativo,[]
tienes razon,afirmativo,[]
es verdad,afirmativo,[]
pia me parece bien,afirmativo,[]
sii pia,afirmativo,[]
me parece bien,afirmativo,[]
eso eso es correcto,afirmativo,[]
yes pia,afirmativo,[]
yes,afirmativo,[]
bien,afirmativo,[]
asi es,afirmativo,[]
pia tienes razon,afirmativo,[]
pia eso eso es correcto,afirmativo,[]
asi es,afirmativo,[]
sii,afirmativo,[]
si,afirmativo,[]
pia esta bien,afirmativo,[]
asi es pia,afirmativo,[]
afirmativo pia,afirmativo,[]
afirmativo,afirmativo,[]
pia es verdad,afirmativo,[]
sii,afirmativo,[]
pia afirmativo,afirmativo,[]
esta bien,afirmativo,[]
me parece bien,afirmativo,[]
es verdad pia,afirmativo,[]
cierto,afirmativo,[]
